Sample,24.CB,27.CB,29.CB,31.CB,32.CB,33.CB,34.CB,35.CB,36.CB,37.CB,38.CB,39.CB
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae,0,0,0,0,0,0,0,46,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae,0,0,0,0,0,0,0,0,108,0,0,0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__,0,0,67,0,0,0,0,0,54,94,0,0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__,0,0,0,0,0,0,0,0,52,0,0,0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__,0,0,0,0,0,0,0,0,61,0,0,0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae,44,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;__,0,0,0,0,0,0,0,0,0,44,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,52,0
k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__AKIW781;f__,0,0,0,0,0,0,0,0,55,0,0,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta;f__,0,42,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae,0,0,0,0,34,0,0,3,103,0,0,0
k__Bacteria;p__Armatimonadetes;c__OPB50;o__;f__,0,0,0,0,0,0,0,0,42,0,0,0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__;f__,0,0,0,0,0,0,0,0,0,132,0,0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,0,0,0,0,0,0,0,0,0,115,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae,0,0,0,0,0,0,0,0,0,0,94,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__;__,0,0,0,8,0,0,0,0,0,0,42,0
k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae,0,0,0,0,0,0,0,0,40,0,0,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__,0,0,0,0,25,0,0,0,0,0,122,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae,0,0,0,0,0,0,39,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__;f__,0,0,0,0,0,0,0,38,0,0,0,0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae,0,0,0,0,0,0,0,0,76,0,0,0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];__,0,0,0,0,0,0,0,0,0,0,38,0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__,0,0,0,0,0,0,0,0,37,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,0,0,94,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__;f__,0,0,0,0,0,36,0,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__,0,0,0,0,0,0,0,20,35,0,0,0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__,0,0,0,0,0,0,0,0,35,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__,3,0,65,12,0,0,0,0,4,0,0,10
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae,0,0,0,0,0,0,48,0,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae,0,0,0,0,0,0,0,32,0,0,0,0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae,0,0,0,0,0,0,0,60,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__,0,0,0,0,0,0,0,57,0,0,0,0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae,0,0,0,0,0,0,0,0,31,0,0,0
k__Bacteria;p__Chloroflexi;c__TK10;o__AKYG885;f__Dolo_23,0,0,0,0,0,0,0,0,31,0,0,0
